	PL01	PL02	3D7
PF3D7_0506700	594	215	215
PF3D7_1123000	673	184	225
PF3D7_0104800	515	186	39
PF3D7_1308500	20	6	2
PF3D7_1368800	185	74	45
PF3D7_1367000	116	59	33
PF3D7_0915800	38	13	1
PF3D7_0616700	27	7	6
PF3D7_0915000	24	17	2
PF3D7_0911900	4793	1835	973
PF3D7_1425300	263	84	37
PF3D7_1222500	331	123	119
PF3D7_1026100	39	16	6
PF3D7_1354700	2	0	0
PF3D7_1222200	0	0	0
PF3D7_1412100	799	285	263
PF3D7_1401900	78	14	14
PF3D7_1101000	0	0	0
PF3D7_0523700	7	3	0
PF3D7_1023500	0	0	0
PF3D7_1024900	128	64	18
PF3D7_1400900	0	0	0
PF3D7_1130000	332	119	71
PF3D7_0705800	56	14	5
PF3D7_0517800	7	1	1
PF3D7_1433300	244	70	231
PF3D7_1361000	45	13	10
PF3D7_0831500	605	203	70
PF3D7_1351300	2	1	0
PF3D7_0725200	287	120	28
PF3D7_0802000	9622	2495	2269
PF3D7_0318900	659	212	231
PF3D7_0222500	1	0	0
PF3D7_1435100	14	9	0
PF3D7_1351900	158	59	13
PF3D7_1452800	25	8	2
PF3D7_0406700	84	30	10
PF3D7_1307500	193	90	12
PF3D7_1037300	707	330	170
PF3D7_1348500	405	169	30
PF3D7_1118400	151	70	18
PF3D7_1024100	133	42	31
PF3D7_1007100	1	3	0
PF3D7_0300700	2	2	0
PF3D7_1006400	102	33	25
PF3D7_0808400	35	11	1
PF3D7_1014700	306	86	20
PF3D7_1307600	844	363	133
PF3D7_1344300	928	276	349
PF3D7_0924900	6	3	0
PF3D7_0921500	10	4	2
PF3D7_0821500	124	49	16
PF3D7_0324500	1	2	0
PF3D7_1007700	7314	1945	1307
PF3D7_1336800	390	111	249
PF3D7_0529800	463	183	286
PF3D7_1366100	108	38	48
PF3D7_1310100	18	8	1
PF3D7_0805300	115	39	24
PF3D7_1117400	918	298	384
PF3D7_1437500	198	66	24
PF3D7_1312100	51	21	2
PF3D7_0801300	50	10	21
PF3D7_1000600	6	1	14
PF3D7_0617900	18857	4552	3628
PF3D7_1350800	4	2	0
PF3D7_1324300	1024	305	375
PF3D7_1248600	276	117	27
PF3D7_API05500	0	0	0
PF3D7_1108200	631	213	76
PF3D7_0808100	95	41	19
PF3D7_0715000	91	22	6
PF3D7_1354400	587	198	71
PF3D7_0724900	350	160	280
PF3D7_0217300	28	12	4
PF3D7_0722000	51	15	4
PF3D7_1334700	124	51	15
PF3D7_1322500	432	162	105
PF3D7_0412100	77	37	11
PF3D7_1464600	4106	1244	1729
PF3D7_1040700	0	0	0
PF3D7_0927200	293	84	33
PF3D7_1420500	4	0	0
PF3D7_1135000	7	5	4
PF3D7_0917800	962	376	131
PF3D7_0901700	306	116	38
PF3D7_0111900	45	12	1
PF3D7_0300100	14	19	388
PF3D7_0223100	7	5	6
PF3D7_0821800	2016	477	543
PF3D7_0804800	79	36	7
PF3D7_1407900	2054	475	1804
PF3D7_1034800	136	59	11
PF3D7_1254200	0	4	0
PF3D7_0218100	22	7	3
PF3D7_1428700	361	130	16
PF3D7_1462000	0	3	0
PF3D7_0826100	4560	1152	2319
PF3D7_API03600	0	0	0
PF3D7_1222000	73	23	10
PF3D7_0807600	8757	3278	2151
PF3D7_1023600	166	56	204
PF3D7_1141600	72	46	5
PF3D7_0520900	7494	2216	3466
PF3D7_1104600	12	2	5
PF3D7_1469400	418	175	10
PF3D7_1400800	0	0	0
PF3D7_0712900	23	31	802
PF3D7_0804100	0	0	0
PF3D7_0724100	9975	4414	5930
PF3D7_1215300	549	121	36
PF3D7_API05000	0	0	0
PF3D7_0105600	1198	440	361
PF3D7_1010800	44	27	6
PF3D7_1417000	9	1	0
PF3D7_1350900	489	149	136
PF3D7_1347500	6958	2233	1306
PF3D7_0419900	686	240	123
PF3D7_0815200	1485	531	261
PF3D7_1321400	36	25	5
PF3D7_1438800	145	39	5
PF3D7_0602200	195	66	15
PF3D7_1332900	1283	466	206
PF3D7_1343300	651	220	110
PF3D7_0922300	100	32	10
PF3D7_1007800	59	20	1
PF3D7_1417300	38	17	13
PF3D7_1106400	1	2	0
PF3D7_1442700	38	17	11
PF3D7_1025100	266	119	126
PF3D7_0609600	2	1	0
PF3D7_1027800	17237	5097	2520
PF3D7_1040900	1	2	0
PF3D7_1455600	63	27	21
PF3D7_1357500	410	86	142
PF3D7_0832250	0	2	0
PF3D7_0114300	9	12	0
PF3D7_0825600	5	0	0
PF3D7_0721900	123	45	25
PF3D7_0915100	358	99	34
PF3D7_1212300	61	21	4
PF3D7_0702100	2935	775	845
PF3D7_0719000	126	58	6
PF3D7_1131100	1241	370	432
PF3D7_0907200	590	203	125
PF3D7_0917500	308	128	40
PF3D7_0922500	4733	1377	351
PF3D7_0616400	59	20	4
PF3D7_0808300	403	160	59
PF3D7_1353800	1743	785	121
PF3D7_1325600	0	0	0
PF3D7_0729400	2084	570	1192
PF3D7_1339900	280	101	89
PF3D7_0529600	0	0	0
PF3D7_1149300	37	9	2
PF3D7_0313800	624	231	317
PF3D7_1252300	1032	670	245
PF3D7_0936400	165	82	32
PF3D7_API01000	0	0	0
PF3D7_1413000	4	0	0
PF3D7_0819000	2132	732	653
PF3D7_0104300	2537	662	562
PF3D7_1038600	10	5	0
PF3D7_1200800	229	61	50
PF3D7_0507000	15	8	0
PF3D7_1347600	13	2	1
PF3D7_1408800	2	0	0
PF3D7_1025200	21	6	1
PF3D7_1347000	34	9	5
PF3D7_0720000	63	29	28
PF3D7_0627000	29	8	10
PF3D7_0723700	433	137	93
PF3D7_0932700	23	9	5
PF3D7_1219300	269	185	203
PF3D7_0626800	10015	3308	2233
PF3D7_0618000	556	217	627
PF3D7_1026500	91	32	31
PF3D7_0623600	349	144	67
PF3D7_0212900	185	77	53
PF3D7_0104400	484	168	58
PF3D7_0512600	2158	661	1761
PF3D7_1402300	594	241	103
PF3D7_0209200	462	180	100
PF3D7_0618100	139	41	15
PF3D7_0425700	2	2	3
PF3D7_1223400	6417	2067	8720
PF3D7_0715700	20	15	2
PF3D7_0425100	13	3	0
PF3D7_1135300	9	4	0
PF3D7_1003700	248	92	19
PF3D7_1449000	11	1	0
PF3D7_1345700	974	322	244
PF3D7_1251200	7388	1619	3692
PF3D7_0928500	168	40	29
PF3D7_0920200	389	172	86
PF3D7_0606000	1641	634	724
PF3D7_1303300	34	11	1
PF3D7_1356800	319	81	40
PF3D7_1124700	534	209	66
PF3D7_1235700	903	284	131
PF3D7_1121100	1568	519	540
PF3D7_1040500	1	1	0
PF3D7_0220600	939	451	107
PF3D7_1029700	26	8	1
PF3D7_0933800	3	2	0
PF3D7_0827500	622	334	315
PF3D7_1001000	124	26	9
PF3D7_1303600	11	1	3
PF3D7_1023400	107	52	5
PF3D7_1031000	283	119	7
PF3D7_0527900	722	222	188
PF3D7_0513600	1956	690	261
PF3D7_0115500	1	1	0
PF3D7_0315900	92	19	3
PF3D7_0718400	538	151	979
PF3D7_1464200	38	8	9
PF3D7_1430400	164	57	23
PF3D7_1301100	0	0	0
PF3D7_1225700	656	222	238
PF3D7_0426000	91	16	52
PF3D7_0522200	131	41	28
PF3D7_0301200	246	83	176
PF3D7_1345500	34	18	9
PF3D7_1102800	11032	2809	3200
PF3D7_0518200	73	36	3
PF3D7_1235000	38	12	5
PF3D7_1128100	1133	374	172
PF3D7_0809500	139	40	14
PF3D7_0614600	69	18	48
PF3D7_API03400	0	0	0
PF3D7_1228300	3774	2000	2127
PF3D7_1210200	91	29	8
PF3D7_0208900	20	9	2
PF3D7_0215500	79	22	7
PF3D7_1340400	1	0	0
PF3D7_0201300	1	4	0
PF3D7_1148700	972	450	288
PF3D7_1247700	88	68	43
PF3D7_1148200	2	2	0
PF3D7_0305700	245	73	30
PF3D7_0626600	10	3	0
PF3D7_0930200	1423	492	63
PF3D7_0304500	86	32	9
PF3D7_1351400	11655	3502	1760
PF3D7_0110400	227	79	57
PF3D7_1354300	1432	482	615
PF3D7_1432200	91	49	20
PF3D7_0511300	75	35	24
PF3D7_1417600	3631	1126	1127
PF3D7_1200600	21734	1018	529
PF3D7_0620100	12	5	1
PF3D7_1034500	474	184	172
PF3D7_0532700	1	0	0
PF3D7_1458000	547	195	58
PF3D7_1309100	11619	4506	3903
PF3D7_0519800	4389	1397	3079
PF3D7_0825900	6	1	1
PF3D7_0408300	493	177	227
PF3D7_1103400	273	118	65
PF3D7_1005000	25	4	6
PF3D7_1464000	1054	333	697
PF3D7_1478900	12089	2026	323
PF3D7_0314500	1351	489	414
PF3D7_0926700	598	196	85
PF3D7_1353500	97	40	2
PF3D7_1211800	1547	532	231
PF3D7_1208200	16	3	1
PF3D7_0632000	0	1	0
PF3D7_0316500	424	180	77
PF3D7_1251500	409	151	73
PF3D7_API02600	0	0	0
PF3D7_0709100	349	132	42
PF3D7_0115200	4	2	0
PF3D7_0305900	4	2	2
PF3D7_1450300	55	29	6
PF3D7_0614800	385	144	76
PF3D7_1011400	1469	504	424
PF3D7_0933900	746	152	131
PF3D7_1117200	23	9	3
PF3D7_1335600	26	17	1
PF3D7_1350200	91	37	3
PF3D7_0504600	331	158	64
PF3D7_0932300	306	124	80
PF3D7_0320400	25	19	10
PF3D7_1012400	6026	2492	1041
PF3D7_1207000	830	341	203
PF3D7_0412600	0	0	1
PF3D7_1104200	2134	973	500
PF3D7_0211600	1	0	0
PF3D7_0219100	39	11	2
PF3D7_1464900	1692	437	433
PF3D7_1004300	4160	1396	1892
PF3D7_0417900	66	17	3
PF3D7_1477300	819	306	36
PF3D7_1303100	149	36	35
PF3D7_1204100	39	11	9
PF3D7_0719100	18	8	0
PF3D7_0731700	39	30	3
PF3D7_0305600	418	211	66
PF3D7_1314200	83	30	11
PF3D7_1252800	88	32	35
PF3D7_1202500	58	22	7
PF3D7_0618900	65	21	7
PF3D7_1466000	22	5	0
PF3D7_1120300	70	40	34
PF3D7_1414900	45	12	2
PF3D7_1422300	19	5	3
PF3D7_0621800	5040	1617	1471
PF3D7_1320400	85	34	14
PF3D7_0931700	13	2	5
PF3D7_0512300	59	26	8
PF3D7_1444300	545	182	77
PF3D7_0310800	662	321	94
PF3D7_1426900	1642	615	654
PF3D7_1470000	48	16	5
PF3D7_1324600	180	67	35
PF3D7_1405800	1683	559	541
PF3D7_1327600	6	4	1
PF3D7_1218300	150	73	15
PF3D7_0717900	176	70	23
PF3D7_1138700	439	148	95
PF3D7_1318700	205	76	43
PF3D7_1032400	84	32	34
PF3D7_0629000	19	5	2
PF3D7_1408400	318	111	23
PF3D7_1038300	0	0	0
PF3D7_1035000	23	11	8
PF3D7_1029400	158	51	17
PF3D7_0807200	117	40	5
PF3D7_1234400	26	8	0
PF3D7_1143200	113	38	12
PF3D7_0720300	8	2	0
PF3D7_1236800	0	0	0
PF3D7_1138000	149	60	35
PF3D7_1475700	12	8	1
PF3D7_1445100	355	152	34
PF3D7_0101300	0	1	0
PF3D7_1243200	0	0	0
PF3D7_0206900	913	278	278
PF3D7_1472900	1521	402	492
PF3D7_0935200	1871	535	1581
PF3D7_0833150	0	0	0
PF3D7_0304100	344	117	91
PF3D7_0524500	8	7	0
